Page,Classification,Callout_Status,Text_Density,Callout_Count,Table_Structure,Diagram_Structure,Notes
1,TABLE,CALLOUTS_FOUND,22.3,6,true,false,"Table-like structure detected"
2,TABLE,CALLOUTS_FOUND,21.7,14,true,false,"Table-like structure detected"
3,TABLE,CALLOUTS_FOUND,24.8,7,true,false,"Table-like structure detected"
4,TABLE,CALLOUTS_FOUND,36,13,true,false,"Table-like structure detected"
5,TABLE,CALLOUTS_FOUND,22.4,7,true,false,"Table-like structure detected"
6,TABLE,CALLOUTS_FOUND,29.1,3,true,false,"Table-like structure detected"
7,TABLE,CALLOUTS_FOUND,24,7,true,false,"Table-like structure detected"
8,TABLE,CALLOUTS_FOUND,27.3,9,true,false,"Table-like structure detected"
9,TABLE,CALLOUTS_FOUND,22.3,6,true,false,"Table-like structure detected"
10,TABLE,CALLOUTS_FOUND,17,4,true,false,"Table-like structure detected"
11,TABLE,CALLOUTS_FOUND,13.3,6,true,false,"Table-like structure detected"
12,TABLE,CALLOUTS_FOUND,26.9,9,true,false,"Table-like structure detected"
13,TABLE,CALLOUTS_FOUND,32.7,16,true,false,"Table-like structure detected"
14,TABLE,CALLOUTS_FOUND,26.9,9,true,false,"Table-like structure detected"
15,TABLE,CALLOUTS_FOUND,28.2,12,true,false,"Table-like structure detected"
16,TABLE,CALLOUTS_FOUND,18.2,11,true,false,"Table-like structure detected"
17,TABLE,CALLOUTS_FOUND,6.3,5,true,false,"Table-like structure detected"
18,TABLE,CALLOUTS_FOUND,20.5,13,true,false,"Table-like structure detected"
19,TABLE,CALLOUTS_FOUND,7.3,6,true,false,"Table-like structure detected"
20,TABLE,CALLOUTS_FOUND,28,9,true,false,"Table-like structure detected"
21,TABLE,CALLOUTS_FOUND,19.3,10,true,false,"Table-like structure detected"
22,TABLE,CALLOUTS_FOUND,21.2,14,true,false,"Table-like structure detected"
23,TABLE,CALLOUTS_FOUND,16.9,11,true,false,"Table-like structure detected"
24,TABLE,CALLOUTS_FOUND,11.9,5,true,false,"Table-like structure detected"
25,TABLE,CALLOUTS_FOUND,14.8,6,true,false,"Table-like structure detected"
26,TABLE,LOW_TEXT,8,0,true,false,"Table-like structure detected"
27,TABLE,CALLOUTS_FOUND,18.4,11,true,false,"Table-like structure detected"
28,TABLE,CALLOUTS_FOUND,19.7,5,true,false,"Table-like structure detected"
29,TABLE,CALLOUTS_FOUND,22.7,8,true,false,"Table-like structure detected"
30,TABLE,CALLOUTS_FOUND,12.2,5,true,false,"Table-like structure detected"
31,TABLE,CALLOUTS_FOUND,19.1,10,true,false,"Table-like structure detected"
