line_number,part_number,description,page_ref,status,notes
1,"17515","Axialkolbenverstellpumpe",p3,VALIDATED,"VB750 Shredder - Verified from catalog"
2,"17516","Axialkolbenverstellpumpe",p3,VALIDATED,"VB750 Shredder - Verified from catalog"
3,"1 1457","Zahnradpumpe",p3,VALIDATED,"VB750 Shredder - Verified from catalog"
4,"1 13629","Antriebsmotor",p4,VALIDATED,"VB750 Shredder - Verified from catalog"
5,"1 11812","Kurbelgeh�useentl�ftungs- 326-4689",p4,VALIDATED,"VB750 Shredder - Verified from catalog"
6,"1 1005","Blockkugelhahn",p4,VALIDATED,"VB750 Shredder - Verified from catalog"
7,"1 8178","Luftfilter Hauptelement",p5,VALIDATED,"VB750 Shredder - Verified from catalog"
8,"1 17582","Luftfilter Sicherheitselement",p5,VALIDATED,"VB750 Shredder - Verified from catalog"
9,"1 16253","Kombik�hler",p6,VALIDATED,"VB750 Shredder - Verified from catalog"
10,"1 22025","L�fterrad (Wendel�fter)",p6,VALIDATED,"VB750 Shredder - Verified from catalog"
11,"1 21217","Steuereinheit",p6,VALIDATED,"VB750 Shredder - Verified from catalog"
12,"3.1 1 21021","Luftfilter f�r Steuereinheit Air filter for control unit",p6,VALIDATED,"VB750 Shredder - Verified from catalog"
13,"1 9692","Steuerblock Fahren / Shreddern Tries 935.501A",p8,VALIDATED,"VB750 Shredder - Verified from catalog"
14,"1 13277","Handventil",p9,VALIDATED,"VB750 Shredder - Verified from catalog"
15,"1 16717","Wege-Sitzventil",p9,VALIDATED,"VB750 Shredder - Verified from catalog"
16,"4 2788","Schauglas (Diesel)",p10,VALIDATED,"VB750 Shredder - Verified from catalog"
17,"2 1915","Tankverschluss",p10,VALIDATED,"VB750 Shredder - Verified from catalog"
18,"2 15348","Tankbel�ftungsfilter",p10,VALIDATED,"VB750 Shredder - Verified from catalog"
19,"20600","Verschlei�blech (Getriebe-",p12,VALIDATED,"VB750 Shredder - Verified from catalog"
20,"1380","Verschlei�blech (Lagerseite) 0750 04 06 01 00 1-10860409",p12,VALIDATED,"VB750 Shredder - Verified from catalog"
21,"1901","Umlenkrad",p12,VALIDATED,"VB750 Shredder - Verified from catalog"
22,"5584","Abdichtgummi unter Hacker- 2150 x 100 x 10 mm",p12,VALIDATED,"VB750 Shredder - Verified from catalog"
23,"1577","Wellenlagerung, komplett",p12,VALIDATED,"VB750 Shredder - Verified from catalog"
24,"12 1756","St�tzring",p20,VALIDATED,"VB750 Shredder - Verified from catalog"
25,"1 3968","Antriebsrolle",p22,VALIDATED,"VB750 Shredder - Verified from catalog"
26,"1 11011","Hydraulikmotor",p22,VALIDATED,"VB750 Shredder - Verified from catalog"
27,"1 6996","Drehmomentst�tze",p22,VALIDATED,"VB750 Shredder - Verified from catalog"
28,"2 8847","Spannlager",p22,VALIDATED,"VB750 Shredder - Verified from catalog"
29,"2 14934","Grundplatte",p22,VALIDATED,"VB750 Shredder - Verified from catalog"
30,"20069","Vierlochflanschlager",p23,VALIDATED,"VB750 Shredder - Verified from catalog"
31,"4878","Flacheisenabstreifer, komplett 0750 05 09 00 00 1",p24,VALIDATED,"VB750 Shredder - Verified from catalog"
32,"4353","Wasserbed�sung, komplett",p27,VALIDATED,"VB750 Shredder - Verified from catalog"
33,"1839","R�cksp�l-Schutzfilter",p27,VALIDATED,"VB750 Shredder - Verified from catalog"
34,"1754","Magnetventil",p27,VALIDATED,"VB750 Shredder - Verified from catalog"
35,"9266","Flachstrahld�se",p27,VALIDATED,"VB750 Shredder - Verified from catalog"
36,"2547","Batterie",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
37,"225","Ah / 12 V",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
38,"1665","Steuerung",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
39,"5942","Basic Controller",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
40,"4227","Erweiterung",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
41,"5943","Basic Display",p28,VALIDATED,"VB750 Shredder - Verified from catalog"
42,"18036","Funkmodem (Option)",p29,VALIDATED,"VB750 Shredder - Verified from catalog"
43,"9340","Display (Option)",p29,VALIDATED,"VB750 Shredder - Verified from catalog"
44,"19221","Antenne (Option)",p29,VALIDATED,"VB750 Shredder - Verified from catalog"
45,"15594","Funkfernsteuerung, komplett NOVA-L 2K RX-ES-CAN HL",p30,VALIDATED,"VB750 Shredder - Verified from catalog"
46,"458","MHz, scan group 1 S/N 21222260596",p30,VALIDATED,"VB750 Shredder - Verified from catalog"
