extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
0f23e680-8287-4ff8-962c-63c95ecc8525,1,"VB 750 DK No. 1211 HAMMEL Zerkleinerer HAMMEL Primary Shredder","","VB 750 DK No. 1211 HAMMEL Zerkleinerer HAMMEL Primary Shredder",NEEDS_REVIEW,"","","",""
4a61a27c-94ab-4f8d-a0ff-a73bab5024b0,1,"02/2025 Monat/ Baujahr Year of build","","02/2025 Monat/ Baujahr Year of build",NEEDS_REVIEW,"","","",""
0b1ea3d5-ab63-4794-92fe-1a8093312969,1,"2025-02-21 Datum Dokument Date document","","2025-02-21 Datum Dokument Date document",NEEDS_REVIEW,"","","",""
89ef2994-ba66-48ca-aafd-25edbe4c0be6,1,"1. Allgemeine Ausf�hrung / General execution","","1. Allgemeine Ausf�hrung / General execution",NEEDS_REVIEW,"","","",""
2171279f-3935-4d8f-8414-890fdd27f7ee,1,"2. Chassis / Grundrahmen / Chassis / Base frame","","2. Chassis / Grundrahmen / Chassis / Base frame",NEEDS_REVIEW,"","","",""
2d754bd9-4191-421f-98ba-368c66bae104,1,"3. Antriebseinheit / Drive unit","","3. Antriebseinheit / Drive unit",NEEDS_REVIEW,"","","",""
0a991a83-0824-450e-be51-5c672c88e1a6,1,"4. Hackwerk / Shredding unit","","4. Hackwerk / Shredding unit",NEEDS_REVIEW,"","","",""
d5b2d992-7c9e-470e-b3ae-bc2bd747f6cc,1,"5. Trichter / Hopper","","5. Trichter / Hopper",NEEDS_REVIEW,"","","",""
74994547-a793-46a2-8b8a-044ef722fddb,1,"6. Austragsband / Discharge conveyor","","6. Austragsband / Discharge conveyor",NEEDS_REVIEW,"","","",""
52b51f92-b8b9-48c3-b3bb-d18e5387e44b,1,"7. Magnet / Magnet","","7. Magnet / Magnet",NEEDS_REVIEW,"","","",""
84ce1d93-bfa7-4f64-bc48-f8278217a15d,1,"8. Wasserbed�sung / Water sprinkling system","","8. Wasserbed�sung / Water sprinkling system",NEEDS_REVIEW,"","","",""
a655732c-6f63-45f5-b325-aaeb6a5e78ec,1,"9. Elektrische Anlage / Electrical system","","9. Elektrische Anlage / Electrical system",NEEDS_REVIEW,"","","",""
39d2e0e0-5179-42d0-ae41-fb5db3a74b19,1,"HINWEIS","","HINWEIS",REJECTED,"","","",""
2a77357f-4700-4c55-bcf9-61a0d85c67f8,1,"Die enthaltenden Abbildungen dienen nur der Veranschaulichung und m�ssen nicht hundertprozentig den tats�chlichen Verh�ltnissen entsprechen. Verschlei�teile sind in der letzten Spalte der Tabellen mit ,,V" gekennzeichnet.","","Die enthaltenden Abbildungen dienen nur der Veranschaulichung und m�ssen nicht hundertprozentig den tats�chlichen Verh�ltnissen entsprechen. Verschlei�teile sind in der letzten Spalte der Tabellen mit ,,V\" gekennzeichnet.",NEEDS_REVIEW,"","","",""
5d5e5801-9e60-44e5-98be-31fe010b75ae,1,"NOTE","","NOTE",REJECTED,"","","",""
c4b11bc6-9ffd-41e6-9444-f71e12c008ef,1,"The following illustrations serve only as a representation and may not correspond exactly to individual machines. Wearing parts are marked with a "V" in the last column of the table.","","The following illustrations serve only as a representation and may not correspond exactly to individual machines. Wearing parts are marked with a \"V\" in the last column of the table.",NEEDS_REVIEW,"","","",""
b9eb52d2-3c88-47cb-a088-fed5beb08b73,1,"HAMMEL Recyclingtechnik GmbH","","HAMMEL Recyclingtechnik GmbH",NEEDS_REVIEW,"","","",""
6926bca3-6a30-440c-b760-53f9331a6d9a,1,"","1 / 31","1 / 31",REJECTED,"","","",""
f0c7606c-95f6-4be7-8f61-92e4fa9c6de5,1,"Allgemeine Ausf�hrung / General execution","","Allgemeine Ausf�hrung / General execution",NEEDS_REVIEW,"","","",""
d87c8e03-9c2d-484d-9a5b-51de5ffd8e1f,1,"1. Allgemeine Ausf�hrung / General execution","","1. Allgemeine Ausf�hrung / General execution",NEEDS_REVIEW,"","","",""
2312e5b1-cc09-4314-88ea-91ca7df7094d,1,"Stk. Artikel Bezeichnung","","Stk. Artikel Bezeichnung",NEEDS_REVIEW,"","","",""
8c237280-972d-485c-91ec-0f0149eb548f,1,"VB 750 DK No. 1211","","VB 750 DK No. 1211",NEEDS_REVIEW,"","","",""
663b64fd-1da4-4ade-9bac-652dea1bf006,1,"Typ / Zeichnungsnr. Type / Drawing no.","","Typ / Zeichnungsnr. Type / Drawing no.",NEEDS_REVIEW,"","","",""
5989ef90-6f7c-4e63-bbcb-2f8b418f46ad,1,"0752 90 00 01 00 1-23790624","","0752 90 00 01 00 1-23790624",NEEDS_REVIEW,"","","",""
bd361c76-014d-4d77-8eec-575ec0dce29b,1,"5.1","","5.1",REJECTED,"","","",""
09fb49bd-3bb2-4544-8219-ae22b77f0a3a,1,"5.2","","5.2",REJECTED,"","","",""
9b9eeb60-2eb7-4207-8a35-75b595969251,2,"","2 / 31","2 / 31",REJECTED,"","","",""
761218df-48f4-4acd-91e4-b62bdc56fdbd,2,"Chassis / Grundrahmen Chassis / base frame","","Chassis / Grundrahmen Chassis / base frame",NEEDS_REVIEW,"","","",""
