file_name,absolute_path,ingestion_status,error_message,document_id,kb_id,chunks_count,entities_count,evidence_count
00 VB750DK-m2021 EU V Couverture.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\00 VB750DK-m2021 EU V Couverture.pdf,PASS,,,,,,
01 VB750DK-m2021 EU V Introduction V120.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\01 VB750DK-m2021 EU V Introduction V120.pdf,PASS,,,,,,
02 VB750DK-m2021 EU V Utilisation conforme aux règles du manuel d'instruction V131.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\02 VB750DK-m2021 EU V Utilisation conforme aux règles du manuel d'instruction V131.pdf,PASS,,,,,,
03 VB750DK-m2021 EU V Consignes et dispositifs de sécurité V107.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\03 VB750DK-m2021 EU V Consignes et dispositifs de sécurité V107.pdf,PASS,,,,,,
04 VB750DK-m2021 EU V Mise en service du broyeur V140.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\04 VB750DK-m2021 EU V Mise en service du broyeur V140.pdf,PASS,,,,,,
05 VB750DK-m2021 EU V Fonctionnement V300.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\05 VB750DK-m2021 EU V Fonctionnement V300.pdf,PASS,,,,,,
06 VB750DK-m2021 EU V Déplacement V110.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\06 VB750DK-m2021 EU V Déplacement V110.pdf,PASS,,,,,,
07 VB750DK-m2021 EU V Barre de reconcassage V102.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\07 VB750DK-m2021 EU V Barre de reconcassage V102.pdf,PASS,,,,,,
08 VB750DK-m2021 EU V Instructions d’entretien V401.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\08 VB750DK-m2021 EU V Instructions d’entretien V401.pdf,PASS,,,,,,
09 VB750DK-m2021 EU V Plan de graissage V230.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\09 VB750DK-m2021 EU V Plan de graissage V230.pdf,PASS,,,,,,
10 VB750DK-m2021 EU V Nettoyage du broyeur V120.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\10 VB750DK-m2021 EU V Nettoyage du broyeur V120.pdf,PASS,,,,,,
11 VB750DK-m2021 EU V Dérangements possibles et leur solutionnement V202.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\11 VB750DK-m2021 EU V Dérangements possibles et leur solutionnement V202.pdf,PASS,,,,,,
"12 VB750DK -1208 Assemblies and Spare Parts, Baugruppen und Ersatzteile 2024-04-18.pdf","C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\12 VB750DK -1208 Assemblies and Spare Parts, Baugruppen und Ersatzteile 2024-04-18.pdf",PASS,,,,,,
13-1 VB750DK-1208  Schémas électriques.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-1 VB750DK-1208  Schémas électriques.pdf,PASS,,,,,,
13-2 VB750DK-1208 Schéma de connexions par bornes.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-2 VB750DK-1208 Schéma de connexions par bornes.pdf,PASS,,,,,,
13-3 VB750DK-1208 Liste des matériaux.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-3 VB750DK-1208 Liste des matériaux.pdf,PASS,,,,,,
13-4 VB750DK-1208 Schéma de connecteurs.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-4 VB750DK-1208 Schéma de connecteurs.pdf,PASS,,,,,,
14-1 VB750DK-1208 Schéma hydraulique.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\14-1 VB750DK-1208 Schéma hydraulique.pdf,PASS,,,,,,
14-2 VB750DK-1208 Parts list hydraulic.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\14-2 VB750DK-1208 Parts list hydraulic.pdf,PASS,,,,,,
14-3 VB750DK-1208 Parts list water sprinkling system.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\14-3 VB750DK-1208 Parts list water sprinkling system.pdf,PASS,,,,,,
KA Instructions brève VB750 DK C9.3B EUV Français V400.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\KA Instructions brève VB750 DK C9.3B EUV Français V400.pdf,PASS,,,,,,
VB750DK-m2021.3 EU V Sommaire Annexe Fr -1208.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\VB750DK-m2021.3 EU V Sommaire Annexe Fr -1208.pdf,PASS,,,,,,
