file_name,absolute_path,file_size_bytes,page_count,extracted_text_chars_preflight,likely_scan_or_image_heavy,risk_class,risk_reason
00 VB750DK-m2021 EU V Couverture.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\00 VB750DK-m2021 EU V Couverture.pdf,90529,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
01 VB750DK-m2021 EU V Introduction V120.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\01 VB750DK-m2021 EU V Introduction V120.pdf,157447,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
02 VB750DK-m2021 EU V Utilisation conforme aux règles du manuel d'instruction V131.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\02 VB750DK-m2021 EU V Utilisation conforme aux règles du manuel d'instruction V131.pdf,659638,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
03 VB750DK-m2021 EU V Consignes et dispositifs de sécurité V107.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\03 VB750DK-m2021 EU V Consignes et dispositifs de sécurité V107.pdf,428182,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
04 VB750DK-m2021 EU V Mise en service du broyeur V140.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\04 VB750DK-m2021 EU V Mise en service du broyeur V140.pdf,174091,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
05 VB750DK-m2021 EU V Fonctionnement V300.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\05 VB750DK-m2021 EU V Fonctionnement V300.pdf,2680161,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
06 VB750DK-m2021 EU V Déplacement V110.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\06 VB750DK-m2021 EU V Déplacement V110.pdf,119483,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
07 VB750DK-m2021 EU V Barre de reconcassage V102.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\07 VB750DK-m2021 EU V Barre de reconcassage V102.pdf,452813,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
08 VB750DK-m2021 EU V Instructions d’entretien V401.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\08 VB750DK-m2021 EU V Instructions d’entretien V401.pdf,1711027,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
09 VB750DK-m2021 EU V Plan de graissage V230.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\09 VB750DK-m2021 EU V Plan de graissage V230.pdf,210900,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
10 VB750DK-m2021 EU V Nettoyage du broyeur V120.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\10 VB750DK-m2021 EU V Nettoyage du broyeur V120.pdf,1111991,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
11 VB750DK-m2021 EU V Dérangements possibles et leur solutionnement V202.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\11 VB750DK-m2021 EU V Dérangements possibles et leur solutionnement V202.pdf,157962,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
"12 VB750DK -1208 Assemblies and Spare Parts, Baugruppen und Ersatzteile 2024-04-18.pdf","C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\12 VB750DK -1208 Assemblies and Spare Parts, Baugruppen und Ersatzteile 2024-04-18.pdf",2197592,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
13-1 VB750DK-1208  Schémas électriques.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-1 VB750DK-1208  Schémas électriques.pdf,548506,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
13-2 VB750DK-1208 Schéma de connexions par bornes.pdf,C:\Users\Noé EVE\OneDrive - Envirojim\Bureau\VB750 DK -1208 Instructions de service\13-2 VB750DK-1208 Schéma de connexions par bornes.pdf,229923,,,UNKNOWN,HIGH,preflight_parse_error:pdfParse is not a function
